GeneSymbol	TW-20250618	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9
LIN54	13.997671717111	22.9262273831077	19.0832335927718	19.3012674467401	20.4486120013258	20.0453957800948	24.5541974540004	24.5214052287511	25.6599157236446	24.563795595648
LIN7A	8.39860303026658	12.5052149362406	10.3594696646476	15.0791151927657	11.3753868086846	9.09955466333251	10.5001502270397	7.43072885719731	7.91972707519895	6.44050738178576
LIN7B	0.430697591295722	0.595486425535266	1.36308811376942	1.40738408465813	1.08337017225567	0.527510415265653	0.646163090894748	0.495381923813154	0.633578166015916	1.49779241436878
LIN7C	50.1762693859516	60.5907437982133	59.5669505717235	55.2900890401409	60.5333083747856	57.6305128677726	63.97014599858	58.4550670099522	65.2585510996393	75.1891792013128
LIN9	3.66092952601364	3.87066176597923	4.36188196406213	4.42320712321127	5.68769340434228	7.51702341753555	3.87697854536849	6.19227404766443	4.11825807910345	4.94271496741698
LINC00085	3.23023193471791	0.44661481915145	0.272617622753883	1.60843895389501	0.406263814595877	0.659388019082066	0.969244636342122	0.990763847626308	0.316789083007958	0
LINC00094	3.8762783216615	3.42404694682778	5.45235245507767	3.41793277702689	5.68769340434228	4.22008332212522	5.16930472715798	2.72460058097235	4.59344170361539	3.74448103592195
LINC00113	1.29209277388717	0.148871606383816	2.45355860478495	0.804219476947504	0.541685086127836	1.05502083053131	0.646163090894748	1.98152769525262	0.158394541503979	0.599116965747512
LINC00115	8.8293006215623	8.78342477664517	13.0856458921864	10.4548532003175	10.021174093365	7.64890102135197	12.2770987270002	13.3753119429552	10.9292233637746	14.5285864193772
LINC00167	0.861395182591444	0.595486425535266	1.49939692514636	2.61371330007939	1.08337017225567	0.791265622898479	1.45386695451318	1.23845480953289	3.16789083007958	1.3480131729319
LINC00174	5.59906868684438	3.12630373406015	4.08926434130825	3.82004251550064	4.06263814595877	4.48383852975805	5.16930472715798	6.439965009571	2.37591812255969	3.4449225530482
LINC00239	1.50744156953503	0.595486425535266	0.681544056884708	0.603164607710628	1.08337017225567	0.263755207632826	0.969244636342122	0.990763847626308	0.950367249023874	1.04845469005815
FAM225A	1.0767439782393	0.595486425535266	1.09047049101553	0.201054869236876	0.947948900723713	0.131877603816413	0.323081545447374	0.990763847626308	0.316789083007958	0
LINC00265	25.4111578864476	15.7803902766845	22.8998803113262	11.8622372849757	10.6982804510248	14.7702916274383	13.0848025906186	8.42149270482362	10.4540397392626	7.33918283040703
LINC00426	2.15348795647861	0.595486425535266	0.545235245507767	2.21160356160564	0.135421271531959	0.659388019082066	2.58465236357899	1.73383673334604	0.791972707519895	1.49779241436878
LINC00467	2.15348795647861	1.33984445745435	0.954161679638592	0.804219476947504	0.135421271531959	1.18689843434772	1.61540772723687	2.22921865715919	1.90073449804775	2.6960263458638
LINC00469	0	0	0.272617622753883	0.402109738473752	0.947948900723713	1.31877603816413	0.484622318171061	0.495381923813154	0.316789083007958	0
LINC00471	0	1.04210124468672	1.22677930239247	0.201054869236876	0.406263814595877	0.131877603816413	1.13078540906581	0.247690961906577	0.633578166015916	0.149779241436878
LINC00476	1.0767439782393	1.33984445745435	1.36308811376942	1.40738408465813	0.812527629191754	1.31877603816413	0.969244636342122	0.743072885719731	1.90073449804775	1.64757165580566
LINC00477	0.646046386943583	0.148871606383816	0.681544056884708	0.402109738473752	1.08337017225567	0.659388019082066	0.161540772723687	0.247690961906577	0	0.898675448621268
LINC00494	0	1.63758767022198	1.22677930239247	0.804219476947504	0.677106357659795	0.527510415265653	1.77694849996056	0.990763847626308	1.74233995654377	1.3480131729319
LINC00515	1.72279036518289	2.82856052129251	2.18094098203107	2.41265843084251	1.62505525838351	2.50567447251185	1.77694849996056	3.46767346669208	3.95986353759948	1.79735089724254
LINC00526	1.72279036518289	1.33984445745435	2.58986741616189	1.80949382313188	2.43758288757526	1.31877603816413	2.4231115908553	2.22921865715919	1.42555087353581	1.94713013867941
LINS	4.09162711730936	5.95486425535266	5.45235245507767	2.81476816931626	3.52095305983093	4.61571613357446	3.06927468175005	3.2199825047855	4.91023078662335	7.03962434753327
LIPA	171.202292540049	101.381563947379	84.3751542423269	96.5063372337005	82.0652905483671	95.4793851630832	108.23231772487	82.9764722387033	137.961645649966	87.6208562405737
LIPC	3.44558073036577	1.19097285107053	4.22557315268519	2.01054869236876	2.3021616160433	0.923143226714892	1.45386695451318	1.23845480953289	2.21752358105571	1.94713013867941
LIPE	3.66092952601364	11.0164988724024	8.45114630537038	8.24324963871191	8.53154010651341	8.70392185188327	8.88474249980278	8.17380174291704	5.70220349414324	4.94271496741698
LIPH	13.5669741258152	8.18793835110991	4.63449958681602	4.02109738473752	6.63564230506599	6.72575779463707	9.20782404525016	13.6230029048617	8.23651615820691	4.7929357259801
LIPN	23.6883675212647	42.4284078193877	26.1712917843728	12.8675116311601	23.8341437896248	26.2436431594662	18.7387296359477	34.1813527431076	39.4402408344908	24.8633540785218
LIPT1	1.72279036518289	2.38194570214106	1.90832335927718	1.20632921542126	1.08337017225567	3.42881769922674	1.77694849996056	1.48614577143946	2.37591812255969	1.79735089724254
LIPT2	0.861395182591444	0.744358031919083	0.681544056884708	0.804219476947504	0.947948900723713	1.05502083053131	1.61540772723687	0.247690961906577	0.475183624511937	0.449337724310634
LITAF	497.671066742207	827.875003100404	920.084476794356	871.170748403384	1014.16990250284	636.836948829459	781.049636119026	599.16443685201	832.996893769426	655.284181286342
LIX1L	56.2060356640917	43.6193806704582	40.4837169789517	44.2320712321127	45.3661259632062	51.696020696034	43.2929270899481	39.3828629431458	51.9534096133051	43.8853177410053
LLGL1	6.67581266508369	10.2721408404833	11.722557778417	10.0527434618438	9.07322519264125	13.8471484007234	10.338609454316	12.6322390572354	6.49417620166314	6.140948898912
LLGL2	1.93813916083075	4.4661481915145	6.13389651196237	5.62953633863253	7.04190611966187	6.72575779463707	6.78471245439485	7.67841981910389	2.85110174707162	3.14536407017444
LLPH	63.9585923074147	60.4418721918295	68.2907144998478	54.8879793016671	67.0335294083197	63.5650050395112	57.6700558623562	54.7397025813535	74.2870399653661	66.0526454736632
